PassengerId,Survived,Pclass,Name,Sex,Age,SibSp,Parch,Ticket,Fare,Cabin,Embarked
1,0,3,"Davies, Mr. John",male,28.6,0,0,TICK70947,12.01,,C
2,0,3,"Williams, Miss. Anna",female,,0,0,TICK82772,23.9,,
3,0,3,"Petroff, Mr. James",male,27.8,0,0,TICK40046,7.82,,S
4,0,1,"Andersson, Mr. Henry",male,,1,1,TICK37446,141.49,A101,C
5,0,2,"Davies, Mr. Henry",male,,1,1,TICK96144,6.93,,S
6,0,3,"Carlsson, Mr. William",male,28.5,0,0,TICK20887,29.65,,Q
7,0,1,"Brown, Mrs. Ruth",female,45.8,0,0,TICK73331,77.94,,C
8,0,3,"Andersson, Mr. Thomas",male,,0,0,TICK76717,7.5,,C
9,0,3,"Brown, Mr. Henry",male,27.2,0,0,TICK99002,13.35,,S
10,1,3,"Carlsson, Miss. Margaret",female,19.0,0,0,TICK71845,13.07,C65,S
11,0,2,"Smith, Mr. William",male,,1,0,TICK66703,18.91,,C
12,1,2,"Davies, Mr. John",male,21.1,0,0,TICK34920,9.33,,C
13,0,2,"Lindblom, Mr. Thomas",male,19.3,0,0,TICK68597,49.27,,S
14,1,2,"Brown, Mrs. Elizabeth",female,28.2,0,0,TICK15125,42.73,,S
15,0,3,"Sundman, Mr. John",male,15.4,0,0,TICK53117,15.51,,S
16,0,3,"Lindblom, Miss. Elizabeth",female,36.9,1,0,TICK12081,3.19,,S
17,0,3,"Sundman, Mr. Thomas",male,27.6,1,0,TICK44690,11.13,,S
18,0,3,"Carlsson, Miss. Elizabeth",female,,0,0,TICK32342,5.79,,S
19,0,3,"Johnson, Miss. Margaret",female,26.6,4,0,TICK97029,19.95,,S
20,1,3,"Smith, Mrs. Anna",female,19.5,1,0,TICK34616,13.15,,S
21,1,1,"Williams, Miss. Ruth",female,16.7,0,0,TICK84083,73.62,D8,S
22,1,1,"Smith, Mr. James",male,25.9,0,2,TICK28662,56.11,,S
23,0,3,"Andersson, Mr. George",male,21.9,1,1,TICK33137,10.93,,S
24,1,1,"Lindblom, Mr. William",male,32.0,0,0,TICK14550,50.04,B77,S
25,1,1,"Davies, Mrs. Margaret",female,28.9,0,1,TICK72113,25.2,G11,Q
26,0,3,"Johnson, Master. George",male,11.3,1,0,TICK25333,13.39,G53,S
27,0,3,"Brown, Mr. Thomas",male,29.9,0,0,TICK84198,9.59,,S
28,0,3,"Brown, Master. Henry",male,11.5,1,0,TICK41493,12.37,,S
29,1,3,"Andersson, Mrs. Florence",female,21.0,0,0,TICK15972,3.28,,Q
30,0,3,"Olsson, Mrs. Margaret",female,25.2,0,0,TICK18303,11.97,,C
31,1,3,"Andersson, Master. John",male,2.0,0,0,TICK62098,37.05,,S
32,1,2,"Lindblom, Mr. Henry",male,30.2,2,0,TICK28591,11.21,,S
33,1,1,"Carlsson, Mrs. Elizabeth",female,31.0,0,0,TICK17172,19.96,D58,S
34,1,1,"Petroff, Miss. Mary",female,26.9,1,0,TICK49426,62.74,C5,S
35,1,3,"Petroff, Miss. Florence",female,23.5,0,0,TICK49143,16.62,,C
36,1,1,"Andersson, Mrs. Ruth",female,24.1,2,0,TICK86326,71.78,G110,C
37,1,2,"Carlsson, Mrs. Elizabeth",female,,2,0,TICK92310,20.47,D7,S
38,1,1,"Sundman, Miss. Margaret",female,,0,0,TICK88437,35.13,B109,C
39,1,3,"Olsson, Mrs. Helen",female,21.8,4,0,TICK53616,26.33,,S
40,0,1,"Johnson, Mr. Thomas",male,30.2,0,0,TICK46454,55.01,,S
41,0,2,"Davies, Miss. Anna",female,13.3,0,0,TICK18862,19.53,E44,S
42,1,3,"Johnson, Mr. George",male,32.1,0,0,TICK21332,16.02,,S
43,1,3,"Brown, Mrs. Anna",female,30.9,0,0,TICK49609,13.21,,
44,1,3,"Lindblom, Mrs. Helen",female,27.2,0,0,TICK34227,14.44,,Q
45,1,3,"Smith, Mrs. Margaret",female,23.3,0,0,TICK75802,3.4,G111,C
46,1,3,"Lindblom, Mr. James",male,36.2,0,0,TICK70731,38.31,,C
47,1,1,"Olsson, Master. Henry",male,7.4,0,2,TICK78700,78.25,E84,C
48,1,3,"Brown, Mr. John",male,35.0,0,0,TICK46659,19.4,,C
49,0,3,"Sundman, Mr. Henry",male,32.2,1,0,TICK21829,1.97,,S
50,0,3,"Smith, Mrs. Mary",female,32.7,2,0,TICK61328,3.35,,C
51,1,2,"Murphy, Mr. James",male,,0,0,TICK90122,24.52,,S
52,0,3,"Andersson, Mr. George",male,,0,2,TICK76313,17.67,,S
